"Date","Provider","Total Pts treatment Planned","Total Procedure Fee","Current MTD Production","% Captured"
"Wed Jun 18 2025 00:00:00 GMT-0500 (Central Daylight Time)","Chinyere Enih","87","72109","41591.38","0.5768"
"Wed Jun 18 2025 00:00:00 GMT-0500 (Central Daylight Time)","Kia Redfearn","66","13255","15454.3","1.1659"
"Wed Jun 18 2025 00:00:00 GMT-0500 (Central Daylight Time)","Kamdi Irondi","26","29713","24421.4","0.8219"
