"Date","End Date","Scheduled Net Production","Ending Net Production","Gap (+ or -)"
"This Week","","47048.51","","7048.510000000002"
"","Goal","40000","",""
"","% of Goal","1.1762127500000001","14542.24",""
"","% Captured","","0.3091",""
"Next Week","","48150.13","","8150.129999999997"
"","Goal","40000","",""
"","% of Goal","1.2037532499999999","",""
"","% Captured","","",""
